objtype,keyspace,name,size,WRUPerRec,rowsPerWRU,rowsPerRRU,rowsSizeWarning,columns
TABLE,OBK_CGN,RSM_CRD_CAR_TRANSACTIONS,70,1,14,57,,6
TABLE,OBK_CGN,RSM_EMP_CGN_PAYMENTS,49,1,20,81,,6
TABLE,OBK_CGN,RSM_EMP_CSG_PAYMENTS,49,1,20,81,,6
KEYSPACE,OBK_IX,null,,,,,,
TABLE,OBK_IX,OBK_DE_PARA,100,1,10,40,,4
KEYSPACE,STPES,null,,,,,,
TABLE,STPES,CADEIA_SOCIETARIA_ONLINE,25,1,40,160,,1
TABLE,STPES,CADEIA_SOCIETARIA,606,1,1,6,true,32
INDEX,IDX_PENUMPRI,null,,,,,,
MATERIALIZED VIEW,STPES,IDX_PENUMPRI_INDEX,,,,,,
KEYSPACE,DG,null,,,,,,
TABLE,DG,DG044_CET_LIBE,44,1,22,90,,11
KEYSPACE,TC,null,,,,,,
TABLE,TC,TCDTGEN,191,1,5,20,,9
INDEX,GEN_TABLA,null,,,,,,
MATERIALIZED VIEW,TC,GEN_TABLA_INDEX,,,,,,
KEYSPACE,LY,null,,,,,,
TABLE,LY,TP59_OPR_INA_WLY,229,1,4,17,,64
TABLE,LY,TP61,119,1,8,33,,11
TABLE,LY,TP67_ACO_WLY,422,1,2,9,,51
TABLE,LY,LYCE0205,438,1,2,9,,31
TABLE,LY,TP75_OPR_ACO_WLY,62,1,16,64,,18
TABLE,LY,TP77_GRA_OPR_WLY,47,1,21,85,,9
TABLE,LY,TP76_PRC_ACO_WLY,155,1,6,25,,26
TABLE,LY,TP78_PGT_PRC_WLY,56,1,17,71,,17
TABLE,LY,TP73_LNC_OPR_WLY,136,1,7,29,,16
TABLE,LY,TP69_CAD_IOF_WLY,294,1,3,13,,46
KEYSPACE,BG,null,,,,,,
TABLE,BG,BGDTRTS,644,1,1,6,true,34
TABLE,BG,BGDTAUX,2250,3,,1,true,173
TABLE,BG,BGDTLIM,249,1,4,16,,14
TABLE,BG,BGDTHJU,705,1,1,5,true,44
TABLE,BG,BGDT189,745,1,1,5,true,33
TABLE,BG,BGDT181,399,1,2,10,,20
TABLE,BG,BGDT180,25,1,40,160,,1
KEYSPACE,JX,null,,,,,,
TABLE,JX,JXDTTPR,850,1,1,4,true,54
TABLE,JX,JXDTTAR,1271,2,,3,true,70
KEYSPACE,SCYLLA_MANAGER,null,,,,,,
KEYSPACE,OBK_PE,null,,,,,,
TABLE,OBK_PE,PEDT023_PHONES,208.125,1,4,19,,10
TABLE,OBK_PE,PEDT001_OTHERSNACIONALITIES,208,1,4,19,,9
TABLE,OBK_PE,VALID_PRODUCTS,25,1,40,160,,1
TABLE,OBK_PE,PEDT_PF_RELATIONSHIP,25,1,40,160,,1
TABLE,OBK_PE,PEDT036_INCOME,162,1,6,24,,8
TABLE,OBK_PE,PEDT_PJ_RELATIONSHIP_V2,25,1,40,160,,1
TABLE,OBK_PE,PEDT150_OTHERSDOCUMENTS,212,1,4,18,,10
TABLE,OBK_PE,PEDT_PF_RELATIONSHIP_V2_BACKUP,25,1,40,160,,1
TABLE,OBK_PE,PEDT_PJ_QUALIFICATION_V2,25,1,40,160,,1
TABLE,OBK_PE,OBK_BRANDINFO,25,1,40,160,,1
TABLE,OBK_PE,PEDT_LAST_UPDATE_IDENTIFICATION,58,1,17,68,,3
TABLE,OBK_PE,FEP_LAST_UPDATE,25,1,40,160,,1
TABLE,OBK_PE,PEDT_PF_RELATIONSHIP_V2,25,1,40,160,,1
TABLE,OBK_PE,FEP,283,1,3,14,,12
INDEX,NR_SEQU_PESS_UNIC_INDEX,null,,,,,,
INDEX,NR_SEQU_RPRE_GRUP_INDEX,null,,,,,,
INDEX,NR_SEQU_DOCT_INDEX,null,,,,,,
INDEX,NR_SEQU_GRUP_INDEX,null,,,,,,
MATERIALIZED VIEW,OBK_PE,NR_SEQU_RPRE_GRUP_INDEX_INDEX,,,,,,
MATERIALIZED VIEW,OBK_PE,NR_SEQU_GRUP_INDEX_INDEX,,,,,,
MATERIALIZED VIEW,OBK_PE,NR_SEQU_PESS_UNIC_INDEX_INDEX,,,,,,
