objtype,keyspace,name,size,WRUPerRec,rowsPerWRU,rowsPerRRU,rowsSizeWarning,columns
TABLE,MP,MPDT066,530,1,1,7,true,37
TABLE,MP,MPDT060,470,1,2,8,,22
TABLE,MP,MPDT164,323,1,3,12,,43
TABLE,MP,MPDT488,294,1,3,13,,20
TABLE,MP,MPDT427,947,1,1,4,true,52
TABLE,MP,MPDT178,241,1,4,16,,12
TABLE,MP,MPDT448,386,1,2,10,,43
TABLE,MP,MPDT012_TMP,587,1,1,6,true,46
TABLE,MP,MPDT454,233,1,4,17,,31
TABLE,MP,MPDT399,330,1,3,12,,29
TABLE,MP,MPDT345,236,1,4,16,,16
TABLE,MP,MPDT366,141,1,7,28,,8
TABLE,MP,MPDT343,25,1,40,160,,1
TABLE,MP,MPDT151,223,1,4,17,,18
TABLE,MP,MPDT381,220,1,4,18,,12
TABLE,MP,MPDT380,644,1,1,6,true,34
TABLE,MP,MPDT229,414,1,2,9,,40
TABLE,MP,MPDT011,267,1,3,14,,29
TABLE,MP,MPDT013,282,1,3,14,,17
INDEX,IDX_IDENTCLI,null,,,,,,
MATERIALIZED VIEW,MP,IDX_IDENTCLI_INDEX,,,,,,
TABLE,MP,MPDT012,587,1,1,6,true,46
TABLE,MP,MPDT326,427,1,2,9,,48
TABLE,MP,MPDT325,481,1,2,8,,51
TABLE,MP,MPDT368,141,1,7,28,,8
TABLE,MP,MPDT090,588,1,1,6,true,41
TABLE,MP,MPDT491,25,1,40,160,,1
TABLE,MP,MPDT490,207,1,4,19,,14
TABLE,MP,MPDT205,1056,2,,3,true,74
TABLE,MP,MPDT206,342,1,2,11,,32
TABLE,MP,MPDT207,337,1,2,11,,36
TABLE,MP,MPDT415,149,1,6,26,,10
TABLE,MP,MPDT418,404,1,2,9,,37
TABLE,MP,MPDT163,284,1,3,14,,28
TABLE,MP,MPDT025,767,1,1,5,true,49
KEYSPACE,OBK_VC,null,,,,,,
TABLE,OBK_VC,OBK_DE_PARA_COB,250,1,4,16,,10
KEYSPACE,OBK_HQ,null,,,,,,
TABLE,OBK_HQ,TAXA_VET,241,1,4,16,,12
TABLE,OBK_HQ,OBK_DE_PARA,100,1,10,40,,4
KEYSPACE,OBK_LY,null,,,,,,
TABLE,OBK_LY,EMPRESTIMO_CONTRATO_LY,25,1,40,160,,1
TABLE,OBK_LY,ADIANTAMENTO_CONTRATO_LY,25,1,40,160,,1
TABLE,OBK_LY,EMPRESTIMO_PAGAMENTOS_LY,25,1,40,160,,1
TABLE,OBK_LY,FINANCIAMENTO_CONTRATO_FINANCE_CHARGES_LY,87,1,11,45,,5
TABLE,OBK_LY,OBK_LY_FAIL,339,1,2,11,,68
TABLE,OBK_LY,EMPRESTIMO_CONTRATO_FINANCE_CHARGES_LY,87,1,11,45,,5
TABLE,OBK_LY,FINANCIAMENTO_PAGAMENTOS_RELEASES_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,ADIANTAMENTO_PAGAMENTOS_RELEASES_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_GARANTIAS_LY,237,1,4,16,,11
TABLE,OBK_LY,ADIANTAMENTO_CONTRATO_CONTRACTED_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,FINANCIAMENTO_CONTRATO_LY,25,1,40,160,,1
TABLE,OBK_LY,EMPRESTIMO_CONTRATO_CONTRACTED_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_PARCELAS_BALLOONPAYMENTS_LY,25,1,40,160,,1
TABLE,OBK_LY,EMPRESTIMO_PAGAMENTOS_RELEASES_LY,116.125,1,8,34,,8
TABLE,OBK_LY,EMPRESTIMO_PAGAMENTOS_RELEASES_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_CONTRATO_CONTRACTED_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,FINANCIAMENTO_PAGAMENTOS_RELEASES_CHARGES_LY,112,1,8,35,,6
TABLE,OBK_LY,ADIANTAMENTO_CONTRATO_INTEREST_RATES_LY,233,1,4,17,,11
TABLE,OBK_LY,EMPRESTIMO_PAGAMENTOS_RELEASES_CHARGES_LY,112,1,8,35,,6
TABLE,OBK_LY,FINANCIAMENTO_GARANTIAS_LY,237,1,4,16,,11
TABLE,OBK_LY,EMPRESTIMO_CONTRATO_INTEREST_RATES_LY,233,1,4,17,,11
TABLE,OBK_LY,EMPRESTIMO_PARCELAS_LY,25,1,40,160,,1
TABLE,OBK_LY,EMPRESTIMO_GARANTIAS_LY,237,1,4,16,,11
TABLE,OBK_LY,EMPRESTIMO_PARCELAS_BALLOONPAYMENTS_LY,25,1,40,160,,1
TABLE,OBK_LY,ADIANTAMENTO_PAGAMENTOS_RELEASES_CHARGES_LY,112,1,8,35,,6
TABLE,OBK_LY,DESCONTO_PAGAMENTOS_RELEASES_LY,116.125,1,8,34,,8
TABLE,OBK_LY,DESCONTO_PAGAMENTOS_RELEASES_CHARGES_LY,112,1,8,35,,6
TABLE,OBK_LY,ADIANTAMENTO_CONTRATO_FINANCE_CHARGES_LY,87,1,11,45,,5
TABLE,OBK_LY,FINANCIAMENTO_PAGAMENTOS_LY,25,1,40,160,,1
TABLE,OBK_LY,FINANCIAMENTO_PARCELAS_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_PAGAMENTOS_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_PAGAMENTOS_RELEASES_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,ADIANTAMENTO_PARCELAS_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_CONTRATO_FINANCE_CHARGES_LY,87,1,11,45,,5
TABLE,OBK_LY,FINANCIAMENTO_CONTRATO_INTEREST_RATES_LY,233,1,4,17,,11
TABLE,OBK_LY,FINANCIAMENTO_PAGAMENTOS_RELEASES_LY,116.125,1,8,34,,8
TABLE,OBK_LY,DESCONTO_CONTRATO_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_PARCELAS_LY,25,1,40,160,,1
TABLE,OBK_LY,FINANCIAMENTO_PARCELAS_BALLOONPAYMENTS_LY,25,1,40,160,,1
TABLE,OBK_LY,ADIANTAMENTO_PAGAMENTOS_RELEASES_LY,116.125,1,8,34,,8
TABLE,OBK_LY,BRAND_INFO,25,1,40,160,,1
TABLE,OBK_LY,FINANCIAMENTO_CONTRATO_CONTRACTED_FEES_LY,25,1,40,160,,1
TABLE,OBK_LY,ADIANTAMENTO_PAGAMENTOS_LY,25,1,40,160,,1
TABLE,OBK_LY,DESCONTO_CONTRATO_INTEREST_RATES_LY,233,1,4,17,,11
TABLE,OBK_LY,ADIANTAMENTO_PARCELAS_BALLOONPAYMENTS_LY,25,1,40,160,,1
TABLE,OBK_LY,ADIANTAMENTO_GARANTIAS_LY,237,1,4,16,,11
