table_ref,keyspace,table,insert_count,insert_size,insert_wrus,writes_size,WRU per record,Rows per RRU,RRU per 10 rows
EM4CAS001.TBEM4014_ATED_CLIE_AGET_MNSL,EM4CAS001,TBEM4014_ATED_CLIE_AGET_MNSL,100,31481,100,31481,1,13,1
EM4CAS001.TBEM4015_ATED_CLIE_AGET_SEMN,EM4CAS001,TBEM4015_ATED_CLIE_AGET_SEMN,100,30688,100,30688,1,14,1
EM4CAS001.TBEM4016_ATED_CLIE_CENL,EM4CAS001,TBEM4016_ATED_CLIE_CENL,100,28400,100,28400,1,15,1
EM4CAS001.TBEM4017_CARG_DIA_ATED_CENL,EM4CAS001,TBEM4017_CARG_DIA_ATED_CENL,100,23800,100,23800,1,17,1
EM4CAS001.TBEM4018_CLIE_ATND_CENL,EM4CAS001,TBEM4018_CLIE_ATND_CENL,100,20700,100,20700,1,20,1
EM4CAS001.TBEM4019_CLIE_DIAR,EM4CAS001,TBEM4019_CLIE_DIAR,1,354,1,354,1,12,1
EM4CAS001.TBEM4020_CLIE_MNSL,EM4CAS001,TBEM4020_CLIE_MNSL,1,336,1,336,1,12,1
EM4CAS001.TBEM4021_CLIE_SEMN,EM4CAS001,TBEM4021_CLIE_SEMN,1,354,1,354,1,12,1
EM4CAS001.TBEM4022_CLQE_CLIE_LINK,EM4CAS001,TBEM4022_CLQE_CLIE_LINK,100,58400,100,58400,1,7,2
EM4CAS001.TBEM4023_CLQE_CLIE_LINK_MNSL,EM4CAS001,TBEM4023_CLQE_CLIE_LINK_MNSL,1,536,1,536,1,8,2
EM4CAS001.TBEM4024_CLQE_CLIE_LINK_SEMN,EM4CAS001,TBEM4024_CLQE_CLIE_LINK_SEMN,1,555,1,555,1,8,2
EM4CAS001.TBEM4025_CTUD_PERF_CTTO,EM4CAS001,TBEM4025_CTUD_PERF_CTTO,100,17100,100,17100,1,24,1
EM4CAS001.TBEM4026_CVSA_CLIE_AGET_DIAR,EM4CAS001,TBEM4026_CVSA_CLIE_AGET_DIAR,1,543,1,543,1,8,2
EM4CAS001.TBEM4027_CVSA_CLIE_AGET_HORR,EM4CAS001,TBEM4027_CVSA_CLIE_AGET_HORR,1,571,1,571,1,8,2
EM4CAS001.TBEM4028_CVSA_CLIE_AGET_MNSL,EM4CAS001,TBEM4028_CVSA_CLIE_AGET_MNSL,1,529,1,529,1,8,2
EM4CAS001.TBEM4029_CVSA_CLIE_AGET_SEMN,EM4CAS001,TBEM4029_CVSA_CLIE_AGET_SEMN,1,547,1,547,1,8,2
EM4CAS001.TBEM4030_DADO_TREI_AGET_VIRT,EM4CAS001,TBEM4030_DADO_TREI_AGET_VIRT,100,17100,100,17100,1,24,1
EM4CAS001.TBEM4031_FASO_POSV_ITRC,EM4CAS001,TBEM4031_FASO_POSV_ITRC,100,61911,100,61911,1,7,2
EM4CAS001.TBEM4032_FDBK_CLIE_CVSA,EM4CAS001,TBEM4032_FDBK_CLIE_CVSA,100,57124,100,57124,1,8,2
EM4CAS001.TBEM4033_FDBK_CLIE_CVSA_DIAR,EM4CAS001,TBEM4033_FDBK_CLIE_CVSA_DIAR,1,795,1,795,1,6,2
EM4CAS001.TBEM4034_FDBK_CLIE_CVSA_MNSL,EM4CAS001,TBEM4034_FDBK_CLIE_CVSA_MNSL,1,784,1,784,1,6,2
EM4CAS001.TBEM4035_FDBK_CLIE_CVSA_SEMN,EM4CAS001,TBEM4035_FDBK_CLIE_CVSA_SEMN,1,801,1,801,1,5,2
EM4CAS001.TBEM4036_ITRC_AMOS,EM4CAS001,TBEM4036_ITRC_AMOS,100,114268,200,114268,2,4,3
EM4CAS001.TBEM4037_ITRC_CATE_MNSL,EM4CAS001,TBEM4037_ITRC_CATE_MNSL,1,456,1,456,1,9,2
EM4CAS001.TBEM4038_ITRC_CATE_SEMN,EM4CAS001,TBEM4038_ITRC_CATE_SEMN,1,475,1,475,1,9,2
EM4CAS001.TBEM4039_ITRC_CLIE_AGET_DIAR,EM4CAS001,TBEM4039_ITRC_CLIE_AGET_DIAR,1,475,1,475,1,9,2
EM4CAS001.TBEM4040_ITRC_CLIE_AGET_HORR,EM4CAS001,TBEM4040_ITRC_CLIE_AGET_HORR,1,504,1,504,1,8,2
EM4CAS001.TBEM4041_ITRC_CLIE_AGET_MNSL,EM4CAS001,TBEM4041_ITRC_CLIE_AGET_MNSL,1,462,1,462,1,9,2
EM4CAS001.TBEM4042_ITRC_CLIE_AGET_SEMN,EM4CAS001,TBEM4042_ITRC_CLIE_AGET_SEMN,1,480,1,480,1,9,2
EM4CAS001.TBEM4043_ITRC_CLIE_MNSL,EM4CAS001,TBEM4043_ITRC_CLIE_MNSL,1,559,1,559,1,8,2
EM4CAS001.TBEM4044_ITRC_CLIE_SEMN,EM4CAS001,TBEM4044_ITRC_CLIE_SEMN,1,575,1,575,1,7,2
EM4CAS001.TBEM4045_LOG_SITU_TREI_AGET,EM4CAS001,TBEM4045_LOG_SITU_TREI_AGET,100,44700,100,44700,1,9,2
EM4CAS001.TBEM4046_PRSO_INFO_TLMA,EM4CAS001,TBEM4046_PRSO_INFO_TLMA,100,302100,300,302100,3,2,5
EM4CAS001.TBEM4047_TEMP_RSPA_DIAR_EVEN,EM4CAS001,TBEM4047_TEMP_RSPA_DIAR_EVEN,1,759,1,759,1,6,2
EM4CAS001.TBEM4048_TEMP_RSPA_HORR_EVEN,EM4CAS001,TBEM4048_TEMP_RSPA_HORR_EVEN,1,786,1,786,1,6,2
EM4CAS001.TBEM4049_TEMP_RSPA_SEMN_EVEN,EM4CAS001,TBEM4049_TEMP_RSPA_SEMN_EVEN,1,764,1,764,1,6,2
EM4CAS001.TBEM4050_TREI_AGET_VIRT,EM4CAS001,TBEM4050_TREI_AGET_VIRT,100,78000,100,78000,1,6,2
EM4CAS001.TBEM4051_TRNO_CVSA_ATED_HUMA,EM4CAS001,TBEM4051_TRNO_CVSA_ATED_HUMA,100,70948,100,70948,1,6,2
EM4CAS001.TBEM4052_TRNO_CVSA_DIAR,EM4CAS001,TBEM4052_TRNO_CVSA_DIAR,1,470,1,470,1,9,2
EM4CAS001.TBEM4053_TRNO_CVSA_HORR,EM4CAS001,TBEM4053_TRNO_CVSA_HORR,1,499,1,499,1,9,2
EM4CAS001.TBEM4054_TRNO_CVSA_MNSL,EM4CAS001,TBEM4054_TRNO_CVSA_MNSL,1,456,1,456,1,9,2
EM4CAS001.TBEM4055_TRNO_CVSA_SEMN,EM4CAS001,TBEM4055_TRNO_CVSA_SEMN,1,475,1,475,1,9,2
EM4CAS001.TBEM4056_CVSA_SESS_CLIE_AGET,EM4CAS001,TBEM4056_CVSA_SESS_CLIE_AGET,100,96775,100,96775,1,5,2
EM4CAS001.TBEM4057_CTRL_ITRC,EM4CAS001,TBEM4057_CTRL_ITRC,100,26595,100,26595,1,16,1
EM4CAS001.TBEM4058_ANAL_RETO_AGET_ACAO,EM4CAS001,TBEM4058_ANAL_RETO_AGET_ACAO,100,95100,100,95100,1,5,2
EM4CAS001.TBEM4059_CTRL_CVSA_SESS_CLIE,EM4CAS001,TBEM4059_CTRL_CVSA_SESS_CLIE,100,104829,200,104829,2,4,3
EM4CAS001.TBEM4060_HIST_CTRL_ITRC,EM4CAS001,TBEM4060_HIST_CTRL_ITRC,100,32692,100,32692,1,13,1
EM4CAS001.TBEM4061_REGR_TNNT_HIST,EM4CAS001,TBEM4061_REGR_TNNT_HIST,100,59281,100,59281,1,7,2
EM4CAS001.TBEM4062_ABOR_ASST_VIRT,EM4CAS001,TBEM4062_ABOR_ASST_VIRT,100,54182,100,54182,1,8,2
EM4CAS001.TBEM4063_EVEN_ASST_VIRT,EM4CAS001,TBEM4063_EVEN_ASST_VIRT,100,38600,100,38600,1,11,1
EM4CAS001.TBEM4122_SESS_CLIE_ASST_VIRT,EM4CAS001,TBEM4122_SESS_CLIE_ASST_VIRT,100,101034,100,101034,1,4,3
EM4CAS001.TENANTS,EM4CAS001,TENANTS,100,37400,100,37400,1,11,1
EM4CAS001.TREINAMENTO_POR_ID_MODELO,EM4CAS001,TREINAMENTO_POR_ID_MODELO,100,45900,100,45900,1,9,2
EM4CAS001.TREINAMENTO_PRODUCAO,EM4CAS001,TREINAMENTO_PRODUCAO,100,45400,100,45400,1,9,2
EM4CAS001.USUARIO,EM4CAS001,USUARIO,100,41750,100,41750,1,10,1
EP9CAS001.TBEP9001_CNFG_COBR_BENF,EP9CAS001,TBEP9001_CNFG_COBR_BENF,1,2316,3,2316,3,2,5
EP9CAS002.TBEP9002_CNFG_PILO_COBR_CONT,EP9CAS002,TBEP9002_CNFG_PILO_COBR_CONT,100,34800,100,34800,1,12,1
EP9CAS002.TBEP9162_ETTG_PILO_PLAT_CASH,EP9CAS002,TBEP9162_ETTG_PILO_PLAT_CASH,100,54400,100,54400,1,8,2
EP9CAS002.TBEP9163_PUBI_PILO_PLAT_CASH,EP9CAS002,TBEP9163_PUBI_PILO_PLAT_CASH,100,44500,100,44500,1,9,2
EP9CAS006.TBEP9428_ARQU_RETO_DEAT,EP9CAS006,TBEP9428_ARQU_RETO_DEAT,100,108790,200,108790,2,4,3
EP9CAS006.TBEP9483_ARQU_RETO_EMPR_DEAT,EP9CAS006,TBEP9483_ARQU_RETO_EMPR_DEAT,100,20900,100,20900,1,20,1
EP9CAS006.TBEP9484_ARQU_RETO_SOLI_DEAT,EP9CAS006,TBEP9484_ARQU_RETO_SOLI_DEAT,100,107485,200,107485,2,4,3
EP9CAS006.TBEP9485_ARQU_RETO_DEAT,EP9CAS006,TBEP9485_ARQU_RETO_DEAT,100,110475,200,110475,2,4,3
EQ3CAS001.TBEQ3006_PESS,EQ3CAS001,TBEQ3006_PESS,1,1134,2,1134,2,4,3
EQ3CAS001.TBEQ3007_RLMT_PESS,EQ3CAS001,TBEQ3007_RLMT_PESS,100,28691,100,28691,1,14,1
EQ3CAS001.TBEQ3009_GERA_IDEF_PESS,EQ3CAS001,TBEQ3009_GERA_IDEF_PESS,100,24700,100,24700,1,17,1
EQ3CAS001.TBEQ3010_IDEF_PESS_DOCM_CADA,EQ3CAS001,TBEQ3010_IDEF_PESS_DOCM_CADA,100,25200,100,25200,1,16,1
EQ3CAS002.TBEQ3011_PESS_TMPR,EQ3CAS002,TBEQ3011_PESS_TMPR,1,1233,2,1233,2,4,3
EQ3CAS002.TBEQ3012_RLMT_PESS_TMPR,EQ3CAS002,TBEQ3012_RLMT_PESS_TMPR,100,31487,100,31487,1,13,1
EQ3CAS003.TBEQ3015_PESS,EQ3CAS003,TBEQ3015_PESS,1,1152,2,1152,2,4,3
EQ3CAS003.TBEQ3016_RLMT_PESS,EQ3CAS003,TBEQ3016_RLMT_PESS,100,36593,100,36593,1,11,1
EQ3CAS003.TBEQ3017_PESS_HIST,EQ3CAS003,TBEQ3017_PESS_HIST,1,1158,2,1158,2,4,3
ER6CAS001.TBER6001_ATUI_SALD,ER6CAS001,TBER6001_ATUI_SALD,100,43773,100,43773,1,10,1
ER6CAS001.TBER6002_CONT_GERA_ARQU,ER6CAS001,TBER6002_CONT_GERA_ARQU,100,36661,100,36661,1,11,1
ER6CAS001.TBER6003_SIST_ATUI_SALD_AUTA,ER6CAS001,TBER6003_SIST_ATUI_SALD_AUTA,100,40667,100,40667,1,10,1
ER6CAS001.TBER6021_CTRL_ATUI_SALD,ER6CAS001,TBER6021_CTRL_ATUI_SALD,100,35662,100,35662,1,12,1
EZ8CAS001.TBEZ8001_FORL_PRPT,EZ8CAS001,TBEZ8001_FORL_PRPT,100,54700,100,54700,1,8,2
EZ8CAS001.TBEZ8002_FORL_PRPT_PNDT_ENVO,EZ8CAS001,TBEZ8002_FORL_PRPT_PNDT_ENVO,100,16400,100,16400,1,25,1
EZ8CAS001.TBEZ8003_FORN_FORL,EZ8CAS001,TBEZ8003_FORN_FORL,100,33019,100,33019,1,13,1
EZ8CAS001.TBEZ8004_LOG_FORL_PRPT,EZ8CAS001,TBEZ8004_LOG_FORL_PRPT,100,50900,100,50900,1,8,2
EZ8CAS001.TBEZ8005_LOG_FORL_PRPT_STAT,EZ8CAS001,TBEZ8005_LOG_FORL_PRPT_STAT,100,54900,100,54900,1,8,2
EZ8CAS001.TBEZ8006_LOG_FORN_FORL,EZ8CAS001,TBEZ8006_LOG_FORN_FORL,100,42021,100,42021,1,10,1
EZ8CAS001.TBEZ8007_PARM_FORL,EZ8CAS001,TBEZ8007_PARM_FORL,100,32800,100,32800,1,13,1
EZ8CAS001.TBEZ8019_TIPO_DOMN_CONT,EZ8CAS001,TBEZ8019_TIPO_DOMN_CONT,100,17100,100,17100,1,24,1
GECAS001.TBGE001_LOG_OFRT_PADR_CRTO,GECAS001,TBGE001_LOG_OFRT_PADR_CRTO,100,42100,100,42100,1,10,1
GECAS001.TBGE002_OFRT_PADR_CRTO,GECAS001,TBGE002_OFRT_PADR_CRTO,100,21000,100,21000,1,20,1
HWCAS001.TBHW001_CSLT_ENDE_PJUR_BRAU,HWCAS001,TBHW001_CSLT_ENDE_PJUR_BRAU,100,100782,100,100782,1,4,3
HWCAS001.TBHW002_CSLT_EMAI_PJUR,HWCAS001,TBHW002_CSLT_EMAI_PJUR,100,92183,100,92183,1,5,2
HWCAS001.TBHW003_CSLT_TEL_PJUR_BRAU,HWCAS001,TBHW003_CSLT_TEL_PJUR_BRAU,100,100335,100,100335,1,4,3
HWCAS001.TBHW004_CSLT_CADA_PJUR_BRAU,HWCAS001,TBHW004_CSLT_CADA_PJUR_BRAU,100,130595,200,130595,2,4,3
HWCAS001.TBHW005_CSLT_CADA_PJUR_RCTF,HWCAS001,TBHW005_CSLT_CADA_PJUR_RCTF,100,188197,200,188197,2,3,4
HWCAS001.TBHW006_CTRL_PSST_BTCH,HWCAS001,TBHW006_CTRL_PSST_BTCH,100,31871,100,31871,1,13,1
HWCAS001.TBHW007_CSLT_MCRL_PFIS,HWCAS001,TBHW007_CSLT_MCRL_PFIS,100,17287,100,17287,1,24,1
HWCAS001.TBHW008_CSLT_DADO_SCIO_EMPR,HWCAS001,TBHW008_CSLT_DADO_SCIO_EMPR,100,71051,100,71051,1,6,2
HWCAS001.TBHW009_CSLT_CADA_PFIS_BRAU,HWCAS001,TBHW009_CSLT_CADA_PFIS_BRAU,100,60114,100,60114,1,7,2
HWCAS001.TBHW010_CSLT_CADA_PFIS_RCTF,HWCAS001,TBHW010_CSLT_CADA_PFIS_RCTF,100,115860,200,115860,2,4,3
HWCAS001.TBHW011_CSLT_EMAI_PFIS,HWCAS001,TBHW011_CSLT_EMAI_PFIS,100,91981,100,91981,1,5,2
HWCAS001.TBHW012_CSLT_ENDE_PFIS_BRAU,HWCAS001,TBHW012_CSLT_ENDE_PFIS_BRAU,100,100618,100,100618,1,4,3
HWCAS001.TBHW013_CSLT_TEL_PFIS_BRAU,HWCAS001,TBHW013_CSLT_TEL_PFIS_BRAU,100,107596,200,107596,2,4,3
HWCAS001.TBHW028_CSLT_SCIO_RCTF,HWCAS001,TBHW028_CSLT_SCIO_RCTF,100,39167,100,39167,1,11,1
SD9CAS001.TBSD9001_CADA_ROTR_JORN_CLIE,SD9CAS001,TBSD9001_CADA_ROTR_JORN_CLIE,100,40600,100,40600,1,10,1
SD9CAS001.TBSD9002_SESS_CLIE_ASST_VIRT,SD9CAS001,TBSD9002_SESS_CLIE_ASST_VIRT,100,78600,100,78600,1,6,2
SD9CAS001.TBSD9003_CNFG_ROTE_AMBI_ATIV,SD9CAS001,TBSD9003_CNFG_ROTE_AMBI_ATIV,100,37600,100,37600,1,11,1
SD9CAS001.TBSD9004_EXEO_ROTR_SESS_CLIE,SD9CAS001,TBSD9004_EXEO_ROTR_SESS_CLIE,100,107952,200,107952,2,4,3
SD9CAS001.TBSD9005_DEFI_LIST_ATII_ROTR,SD9CAS001,TBSD9005_DEFI_LIST_ATII_ROTR,100,154391,200,154391,2,3,4
SD9CAS001.TBSD9006_ITRC_CLIE_EXEO_ROTR,SD9CAS001,TBSD9006_ITRC_CLIE_EXEO_ROTR,100,66000,100,66000,1,7,2
SD9CAS001.TBSD9007_CNFG_ATII_ROTR_JORN,SD9CAS001,TBSD9007_CNFG_ATII_ROTR_JORN,1,908,1,908,1,5,2
SD9CAS001.TBSD9008_EXEO_ATII_ROTR_JORN,SD9CAS001,TBSD9008_EXEO_ATII_ROTR_JORN,100,100044,100,100044,1,4,3
SD9CAS001.TBSD9009_RESU_EXEO_ATII_ROTR,SD9CAS001,TBSD9009_RESU_EXEO_ATII_ROTR,100,66100,100,66100,1,7,2
SD9CAS001.TBSD9010_TOTL_EXEO_ROTR,SD9CAS001,TBSD9010_TOTL_EXEO_ROTR,100,33133,100,33133,1,13,1
SD9CAS001.TBSD9011_TOTL_EXEO_PRDO,SD9CAS001,TBSD9011_TOTL_EXEO_PRDO,100,41144,100,41144,1,10,1
SD9CAS001.TBSD9012_TOTL_EXEO_FLUX_ROTR,SD9CAS001,TBSD9012_TOTL_EXEO_FLUX_ROTR,100,52251,100,52251,1,8,2
SD9CAS001.TBSD9013_TOTL_EXEO_FLUX_PRDO,SD9CAS001,TBSD9013_TOTL_EXEO_FLUX_PRDO,100,51819,100,51819,1,8,2
SD9CAS001.TBSD9014_TOTL_EXEO_TRIO_ASST,SD9CAS001,TBSD9014_TOTL_EXEO_TRIO_ASST,100,56430,100,56430,1,8,2
SD9CAS001.TBSD9015_TOTL_EXEO_TRIO_PRDO,SD9CAS001,TBSD9015_TOTL_EXEO_TRIO_PRDO,100,60635,100,60635,1,7,2
SD9CAS001.TBSD9016_TOTL_EXEO_TRIO_ROTR,SD9CAS001,TBSD9016_TOTL_EXEO_TRIO_ROTR,100,66639,100,66639,1,7,2
SD9CAS001.TBSD9017_TOTL_PRDO_TRIO_ROTR,SD9CAS001,TBSD9017_TOTL_PRDO_TRIO_ROTR,100,70833,100,70833,1,6,2
SD9CAS001.TBSD9018_TOTL_EXEO_CLIE,SD9CAS001,TBSD9018_TOTL_EXEO_CLIE,100,35312,100,35312,1,12,1
SD9CAS001.TBSD9019_TOTL_CLIE_PRDO,SD9CAS001,TBSD9019_TOTL_CLIE_PRDO,100,44118,100,44118,1,10,1
SD9CAS001.TBSD9020_TOTL_CLIE_TRIO,SD9CAS001,TBSD9020_TOTL_CLIE_TRIO,100,58908,100,58908,1,7,2
SD9CAS001.TBSD9021_TOTL_PRDO_CLIE_TRIO,SD9CAS001,TBSD9021_TOTL_PRDO_CLIE_TRIO,100,63612,100,63612,1,7,2
SD9CAS001.TBSD9022_MONI_ATII_NEGO_JORN,SD9CAS001,TBSD9022_MONI_ATII_NEGO_JORN,100,145493,200,145493,2,3,4
SD9CAS001.TBSD9023_CNFG_MENS_ALER_SIST,SD9CAS001,TBSD9023_CNFG_MENS_ALER_SIST,100,26400,100,26400,1,16,1
SD9CAS001.TBSD9024_LOG_VERS_ROTR,SD9CAS001,TBSD9024_LOG_VERS_ROTR,100,36091,100,36091,1,12,1
STRESS.TEST_COUNTER1,STRESS,TEST_COUNTER1,1,1267,2,1267,2,4,3
STRESS.TEST_STANDARD1,STRESS,TEST_STANDARD1,100,619000,700,619000,7,1,10
SUCAS001.TBSU001_LOG_OFRT_PADR_CESP,SUCAS001,TBSU001_LOG_OFRT_PADR_CESP,200,85000,200,85000,1,10,1
SUCAS001.TBSU002_OFRT_PADR_CESP,SUCAS001,TBSU002_OFRT_PADR_CESP,200,42000,200,42000,1,20,1
SUCAS001.TBSU003_CANA_FORL_CESP,SUCAS001,TBSU003_CANA_FORL_CESP,200,43300,200,43300,1,19,1
SUCAS001.TBSU004_MEIO_FORL_PROD_ROTT,SUCAS001,TBSU004_MEIO_FORL_PROD_ROTT,200,48572,200,48572,1,17,1
SUCAS001.TBSU005_PARM_OFRT_PROD_ROTT,SUCAS001,TBSU005_PARM_OFRT_PROD_ROTT,200,41200,200,41200,1,20,1
SUCAS001.TBSU027_PSST_EFET_CESP,SUCAS001,TBSU027_PSST_EFET_CESP,100,31200,100,31200,1,13,1
SUCAS001.TBSU027_PSST_EFET_CESP_FORL,SUCAS001,TBSU027_PSST_EFET_CESP_FORL,100,31700,100,31700,1,13,1
SUCAS001.TBSU073_PSST_EFET_CESP,SUCAS001,TBSU073_PSST_EFET_CESP,100,30700,100,30700,1,14,1
SUCAS002.TBSU008_DETL_SOLI_PRDE_ROTT,SUCAS002,TBSU008_DETL_SOLI_PRDE_ROTT,100,159264,200,159264,2,3,4
SUCAS002.TBSU009_SOLI_PRDE_ROTT,SUCAS002,TBSU009_SOLI_PRDE_ROTT,100,55218,100,55218,1,8,2
SUCAS002.TBSU013_HIST_ENVO_PRDE_ROTT,SUCAS002,TBSU013_HIST_ENVO_PRDE_ROTT,100,46200,100,46200,1,9,2
SUCAS002.TBSU014_RETO_PRDE_ROTT_RCSD,SUCAS002,TBSU014_RETO_PRDE_ROTT_RCSD,100,78522,100,78522,1,6,2
SUCAS003.TBSU010_DETL_LIQU_PRDE_ROTT,SUCAS003,TBSU010_DETL_LIQU_PRDE_ROTT,100,135570,200,135570,2,3,4
SUCAS003.TBSU011_LIQU_PRDE_ROTT_AGEN,SUCAS003,TBSU011_LIQU_PRDE_ROTT_AGEN,100,39200,100,39200,1,11,1
SUCAS003.TBSU012_LIQU_PRDE_ROTT_CONT,SUCAS003,TBSU012_LIQU_PRDE_ROTT_CONT,100,21900,100,21900,1,19,1
SUCAS003.TBSU028_HIST_LIQU_PRDE_ROTT,SUCAS003,TBSU028_HIST_LIQU_PRDE_ROTT,100,111843,200,111843,2,4,3
SUCAS007.TBSU025_PSST_EFET_CESP,SUCAS007,TBSU025_PSST_EFET_CESP,100,19587,100,19587,1,21,1
SUCAS007.TBSU026_SITU_EFET_CESP,SUCAS007,TBSU026_SITU_EFET_CESP,100,203020,200,203020,2,2,5
SUCAS007.TBSU030_SIMU_TRNO_CESP,SUCAS007,TBSU030_SIMU_TRNO_CESP,100,15293,100,15293,1,27,1
SUCAS007.TBSU032_HIST_CESP_EFEI,SUCAS007,TBSU032_HIST_CESP_EFEI,100,43500,100,43500,1,10,1
VH1CAS001.TBVH1016_PGTO_CRTO_CRED,VH1CAS001,TBVH1016_PGTO_CRTO_CRED,100,170166,200,170166,2,3,4
VQ1CAS001.TBVQ023_FATU_RSUM_CRTO,VQ1CAS001,TBVQ023_FATU_RSUM_CRTO,100,69642,100,69642,1,6,2
VQ1CAS001.TBVQ1024_FORL_RMTO_GRDE_CRTO,VQ1CAS001,TBVQ1024_FORL_RMTO_GRDE_CRTO,100,195434,200,195434,2,3,4
VQ1CAS001.TBVQ1025_INFO_ADIC_FORL_GRDE,VQ1CAS001,TBVQ1025_INFO_ADIC_FORL_GRDE,100,23188,100,23188,1,18,1
VQ1CAS002.TBVQ1027_EVEN_FATU_CCRE,VQ1CAS002,TBVQ1027_EVEN_FATU_CCRE,100,102161,100,102161,1,4,3
VQ1CAS003.TBVQ0028_TRAN_CCRE_PRDO,VQ1CAS003,TBVQ0028_TRAN_CCRE_PRDO,100,119544,200,119544,2,4,3
VQ1CAS004.TBVQ030_DETL_INFO_CCRE,VQ1CAS004,TBVQ030_DETL_INFO_CCRE,100,100043,100,100043,1,4,3
VQ1CAS005.TBVQ031_CRED_FATU_CCRE,VQ1CAS005,TBVQ031_CRED_FATU_CCRE,100,41603,100,41603,1,10,1
VQ1CAS005.TBVQ032_ENCR_SERV_FATU_CCRE,VQ1CAS005,TBVQ032_ENCR_SERV_FATU_CCRE,100,47734,100,47734,1,9,2
VQ1CAS005.TBVQ033_FATU_CCRE_CPTO,VQ1CAS005,TBVQ033_FATU_CCRE_CPTO,1,6295,7,6295,7,1,10
VQ1CAS005.TBVQ034_LANC_FATU_CCRE,VQ1CAS005,TBVQ034_LANC_FATU_CCRE,100,97488,100,97488,1,5,2
VQ1CAS005.TBVQ035_PGTO_PORD_FATU_CCRE,VQ1CAS005,TBVQ035_PGTO_PORD_FATU_CCRE,100,88050,100,88050,1,5,2
VQ1CAS005.TBVQ045_CRED_FATU_ABER_CCRE,VQ1CAS005,TBVQ045_CRED_FATU_ABER_CCRE,100,39501,100,39501,1,11,1
VQ1CAS005.TBVQ046_ENCR_SERV_FATU_ABER,VQ1CAS005,TBVQ046_ENCR_SERV_FATU_ABER,100,45115,100,45115,1,9,2
VQ1CAS005.TBVQ047_FATU_ABER_CCRE_CPTO,VQ1CAS005,TBVQ047_FATU_ABER_CCRE_CPTO,1,5905,6,5905,6,1,10
VQ1CAS005.TBVQ048_LANC_FATU_ABER_CCRE,VQ1CAS005,TBVQ048_LANC_FATU_ABER_CCRE,100,103684,200,103684,2,4,3
VQ1CAS005.TBVQ049_PGTO_PORD_FATU_ABER,VQ1CAS005,TBVQ049_PGTO_PORD_FATU_ABER,100,137952,200,137952,2,3,4
VZ1CAS001.TBVZ001_HIST_AUTE_CRTO,VZ1CAS001,TBVZ001_HIST_AUTE_CRTO,100,28300,100,28300,1,15,1
VZ1CAS001.TBVZ1003_AUTR_CRTO_CRED,VZ1CAS001,TBVZ1003_AUTR_CRTO_CRED,100,190181,200,190181,2,3,4
VZ1CAS001.TBVZ1003_AUTR_CRTO_CRED_TESTE,VZ1CAS001,TBVZ1003_AUTR_CRTO_CRED_TESTE,100,190729,200,190729,2,3,4
VZ1CAS001.TBVZ1004_AUTR_CRTO_CRED_AJUS,VZ1CAS001,TBVZ1004_AUTR_CRTO_CRED_AJUS,100,190666,200,190666,2,3,4
X0CAS001.TBX0007_LANC_CONT,X0CAS001,TBX0007_LANC_CONT,100,58026,100,58026,1,7,2
X0CAS001.TBX0008_MTDO_LDGR,X0CAS001,TBX0008_MTDO_LDGR,100,21300,100,21300,1,19,1
X0CAS001.TBX0010_CONT,X0CAS001,TBX0010_CONT,100,34100,100,34100,1,12,1
X0CAS001.TBX0011_CMDA_ITGR_LIMI_OPEL,X0CAS001,TBX0011_CMDA_ITGR_LIMI_OPEL,100,38193,100,38193,1,11,1
X0CAS001.TBX0012_CMDA_ITGR_SOLI_TEF,X0CAS001,TBX0012_CMDA_ITGR_SOLI_TEF,100,37990,100,37990,1,11,1
X0CAS001.TBX0013_INFO_CONT_CADL,X0CAS001,TBX0013_INFO_CONT_CADL,100,171191,200,171191,2,3,4
X0CAS001.TBX0014_CMDA_ITGR_CMNC,X0CAS001,TBX0014_CMDA_ITGR_CMNC,100,30288,100,30288,1,14,1
X0CAS001.TBX0015_CMDA_ITGR_CPVT,X0CAS001,TBX0015_CMDA_ITGR_CPVT,100,37592,100,37592,1,11,1
X0CAS001.TBX0016_CMDA_ITGR_FRAU,X0CAS001,TBX0016_CMDA_ITGR_FRAU,100,34686,100,34686,1,12,1
X0CAS001.TBX0017_CMDA_ITGR_TEF_SLTD,X0CAS001,TBX0017_CMDA_ITGR_TEF_SLTD,100,37991,100,37991,1,11,1
X0CAS001.TBX0018_CMDA_OPER_CPVT,X0CAS001,TBX0018_CMDA_OPER_CPVT,100,34300,100,34300,1,12,1
X0CAS001.TBX0020_HIST_LIMI_OPEL,X0CAS001,TBX0020_HIST_LIMI_OPEL,100,17800,100,17800,1,23,1
X0CAS001.TBX0021_INFO_CONT_CADL_LGDO,X0CAS001,TBX0021_INFO_CONT_CADL_LGDO,100,174891,200,174891,2,3,4
X0CAS001.TBX0022_JUNC_EVEN,X0CAS001,TBX0022_JUNC_EVEN,100,25000,100,25000,1,16,1
X0CAS001.TBX0024_CMDA_ITGR_SALD_SLTD,X0CAS001,TBX0024_CMDA_ITGR_SALD_SLTD,100,30791,100,30791,1,13,1
X0CAS001.TBX0025_CMDA_ITGR_SOLI_SALD,X0CAS001,TBX0025_CMDA_ITGR_SOLI_SALD,100,30789,100,30789,1,13,1
