table_ref,keyspace,table,insert_count,insert_size,insert_wrus,writes_size,WRU per record,Rows per RRU,RRU per 10 rows
DK1CAS001.TBDK1004_PARM_BANR_BIN,DK1CAS001,TBDK1004_PARM_BANR_BIN,100,93641,100,93641,1,5,2
DW8CAS001.TBDW8004_EXCN_PLNN,DW8CAS001,TBDW8004_EXCN_PLNN,100,16500,100,16500,1,25,1
DW8CAS001.TBDW8005_LOG_ENRY,DW8CAS001,TBDW8005_LOG_ENRY,100,28590,100,28590,1,14,1
DW8CAS001.TBDW8006_VIEW_PLNN,DW8CAS001,TBDW8006_VIEW_PLNN,100,16500,100,16500,1,25,1
DW8CAS001.TBDW8007_EXEE_JOB_CMMD,DW8CAS001,TBDW8007_EXEE_JOB_CMMD,100,28000,100,28000,1,15,1
DW8CAS001.TBDW8008_SOUR,DW8CAS001,TBDW8008_SOUR,100,15500,100,15500,1,26,1
DW8CAS001.TBDW8009_RCVD_FILL,DW8CAS001,TBDW8009_RCVD_FILL,100,31400,100,31400,1,13,1
DW8CAS001.TBDW8025_LOG_SEVY,DW8CAS001,TBDW8025_LOG_SEVY,100,18500,100,18500,1,22,1
DW8CAS001.TBDW8031_BROK_CNFN,DW8CAS001,TBDW8031_BROK_CNFN,100,22200,100,22200,1,19,1
DW8CAS001.TBDW8032_FILL_WTCH_LOG,DW8CAS001,TBDW8032_FILL_WTCH_LOG,100,19900,100,19900,1,21,1
DW8CAS001.TBDW8033_INGN_AGNT_EXIN,DW8CAS001,TBDW8033_INGN_AGNT_EXIN,100,74660,100,74660,1,6,2
DW8CAS001.TBDW8034_INGN_AGNT_EXIN_LOG,DW8CAS001,TBDW8034_INGN_AGNT_EXIN_LOG,100,40400,100,40400,1,10,1
DW8CAS001.TBDW8035_INGN_AGNT_EXIN_STAT,DW8CAS001,TBDW8035_INGN_AGNT_EXIN_STAT,100,50752,100,50752,1,8,2
DW8CAS001.TBDW8036_INGN_AGNT_STMS,DW8CAS001,TBDW8036_INGN_AGNT_STMS,100,30400,100,30400,1,14,1
DW8CAS001.TBDW8037_INGN_AGNT_CNFN,DW8CAS001,TBDW8037_INGN_AGNT_CNFN,100,16500,100,16500,1,25,1
DW8CAS001.TBEG3008_REGR_CATE_COTX,DW8CAS001,TBEG3008_REGR_CATE_COTX,100,40452,100,40452,1,10,1
DW8CAS001.TESTE_SPARK_INGESTAO,DW8CAS001,TESTE_SPARK_INGESTAO,100,24200,100,24200,1,17,1
DW8CAS002.TBDW8001_PRCT_VIEW,DW8CAS002,TBDW8001_PRCT_VIEW,100,26300,100,26300,1,16,1
DW8CAS002.TBDW8002_PRCT_EVTE_STOE,DW8CAS002,TBDW8002_PRCT_EVTE_STOE,100,35500,100,35500,1,12,1
DW8CAS002.TBDW8003_PRCT_EVTE_TYPE_STOE,DW8CAS002,TBDW8003_PRCT_EVTE_TYPE_STOE,100,36000,100,36000,1,12,1
DW8CAS002.TBDW8022_INVP_VIEW,DW8CAS002,TBDW8022_INVP_VIEW,100,23200,100,23200,1,18,1
DW8CAS002.TBDW8023_INVP_EVTE_STOE,DW8CAS002,TBDW8023_INVP_EVTE_STOE,100,33695,100,33695,1,12,1
DW8CAS002.TBDW8024_INVP_EVTE_TYPE_STOE,DW8CAS002,TBDW8024_INVP_EVTE_TYPE_STOE,100,34187,100,34187,1,12,1
DW8CAS002.TBDW8026_CARD_PRCT_VIEW,DW8CAS002,TBDW8026_CARD_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8027_EMAI_PRCT_VIEW,DW8CAS002,TBDW8027_EMAI_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8028_PHON_PRCT_VIEW,DW8CAS002,TBDW8028_PHON_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8029_RCPT_PRCT_VIEW_TMSS,DW8CAS002,TBDW8029_RCPT_PRCT_VIEW_TMSS,100,38100,100,38100,1,11,1
DW8CAS002.TBDW8030_ACOT_ASTN_VIEW,DW8CAS002,TBDW8030_ACOT_ASTN_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8055_DIGL_COMM_PRCT_VIEW,DW8CAS002,TBDW8055_DIGL_COMM_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8056_RQST_PRCT_VIEW_TMSS,DW8CAS002,TBDW8056_RQST_PRCT_VIEW_TMSS,100,38100,100,38100,1,11,1
DW8CAS002.TBDW8060_INMT_PRCT_VIEW_TMSS,DW8CAS002,TBDW8060_INMT_PRCT_VIEW_TMSS,100,41700,100,41700,1,10,1
DW8CAS002.TBDW8061_CSTM_DAT_PRCT_VIEW,DW8CAS002,TBDW8061_CSTM_DAT_PRCT_VIEW,100,27200,100,27200,1,15,1
DW8CAS002.TBDW8062_LIIT_PRCT_VIEW,DW8CAS002,TBDW8062_LIIT_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8063_SGMT_PRCT_VIEW,DW8CAS002,TBDW8063_SGMT_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8064_MANA_NATU_CSTM_PRCT,DW8CAS002,TBDW8064_MANA_NATU_CSTM_PRCT,99,27027,99,27027,1,15,1
DW8CAS002.TBDW8064_MANA_NATU_CSTM_PRCT,DW8CAS002,TBDW8064_MANA_NATU_CSTM_PRCT,1,273,1,273,1,15,1
DW8CAS002.TBDW8066_CSTM_ACOT_PRCT_VIEW,DW8CAS002,TBDW8066_CSTM_ACOT_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8067_CSTM_CARD_PRCT_VIEW,DW8CAS002,TBDW8067_CSTM_CARD_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8068_CSTM_LEND_PRCT_VIEW,DW8CAS002,TBDW8068_CSTM_LEND_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8069_CARD_EXCH_PRCT_VIEW,DW8CAS002,TBDW8069_CARD_EXCH_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8070_INUE_PRCT_VIEW,DW8CAS002,TBDW8070_INUE_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8071_PYRL_LOAN_PRCT_VIEW,DW8CAS002,TBDW8071_PYRL_LOAN_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8072_LOAN_PRCT_VIEW,DW8CAS002,TBDW8072_LOAN_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8073_CNSM_PRCT_VIEW,DW8CAS002,TBDW8073_CNSM_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8074_PRVE_PNSN_PRCT_VIEW,DW8CAS002,TBDW8074_PRVE_PNSN_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8075_BROK_PRCT_VIEW,DW8CAS002,TBDW8075_BROK_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8076_CILN_PRCT_VIEW,DW8CAS002,TBDW8076_CILN_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8077_ELCD_INME_PRCT_VIEW,DW8CAS002,TBDW8077_ELCD_INME_PRCT_VIEW,100,27300,100,27300,1,15,1
DW8CAS002.TBDW8078_RVNE_PRCT_VIEW,DW8CAS002,TBDW8078_RVNE_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8079_SAVA_PRCT_VIEW,DW8CAS002,TBDW8079_SAVA_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8081_MBPT_PRCT_VIEW,DW8CAS002,TBDW8081_MBPT_PRCT_VIEW,100,26800,100,26800,1,15,1
DW8CAS002.TBDW8082_MBPT_STRT_PRCT_VIEW,DW8CAS002,TBDW8082_MBPT_STRT_PRCT_VIEW,100,27300,100,27300,1,15,1
